iter	Passed	Remaining
0	3	1041
1	7	1159
2	9	970
3	11	846
4	13	769
5	14	717
6	16	684
7	17	647
8	19	615
9	20	587
10	21	566
11	22	547
12	23	522
13	24	506
14	25	493
15	27	480
16	28	470
17	29	467
18	30	457
19	32	448
20	33	441
21	34	434
22	35	426
23	36	422
24	37	417
25	39	411
26	39	403
27	41	399
28	42	398
29	43	394
30	44	390
31	46	386
32	47	383
33	48	380
34	49	378
35	51	376
36	52	375
37	54	375
38	55	373
39	57	371
40	58	368
41	59	365
42	60	362
43	61	359
44	63	357
45	64	355
46	65	354
47	67	351
48	68	349
49	69	347
50	71	346
51	72	344
52	73	342
53	74	337
54	75	335
55	76	335
56	78	333
57	79	330
58	80	328
59	81	325
60	82	324
61	83	322
62	85	320
63	86	318
64	87	317
65	89	315
66	90	315
67	92	314
68	93	312
69	94	310
70	95	309
71	96	306
72	98	305
73	99	303
74	100	301
75	101	299
76	102	297
77	103	295
78	105	293
79	106	291
80	107	290
81	108	288
82	109	287
83	110	285
84	112	283
85	113	281
86	114	280
87	115	278
88	117	277
89	118	275
90	119	273
91	120	272
92	121	270
93	122	268
94	123	267
95	125	265
96	126	264
97	127	262
98	128	260
99	129	259
100	131	258
101	132	257
102	133	255
103	134	253
104	135	252
105	136	250
106	137	248
107	139	247
108	140	246
109	142	245
110	143	244
111	144	242
112	145	241
113	146	239
114	147	238
115	149	236
116	150	235
117	151	233
118	152	232
119	154	231
120	155	229
121	156	227
122	157	226
123	158	225
124	159	223
125	161	222
126	162	220
127	163	219
128	164	217
129	165	216
130	166	215
131	167	213
132	169	212
133	170	211
134	172	210
135	173	208
136	174	207
137	175	206
138	176	204
139	178	203
140	179	202
141	180	200
142	181	199
143	182	198
144	184	197
145	185	195
146	186	194
147	188	193
148	189	191
149	190	190
150	191	188
151	192	187
152	193	186
153	194	184
154	195	183
155	196	181
156	198	180
157	199	179
158	200	177
159	201	176
160	202	175
161	203	173
162	204	172
163	206	170
164	207	169
165	208	168
166	209	166
167	210	165
168	211	164
169	213	162
170	214	161
171	215	160
172	216	159
173	217	157
174	218	156
175	220	155
176	221	153
177	222	152
178	223	150
179	224	149
180	225	148
181	226	146
182	227	145
183	228	144
184	230	142
185	231	141
186	232	140
187	233	139
188	234	137
189	235	136
190	236	135
191	238	134
192	239	132
193	241	131
194	242	130
195	243	129
196	244	127
197	245	126
198	246	125
199	248	124
200	249	122
201	250	121
202	251	120
203	252	118
204	253	117
205	254	116
206	255	114
207	257	113
208	258	112
209	259	111
210	260	109
211	261	108
212	263	107
213	264	106
214	265	105
215	266	103
216	267	102
217	268	101
218	270	99
219	271	98
220	272	97
221	273	96
222	275	95
223	276	93
224	278	92
225	279	91
226	280	90
227	281	88
228	282	87
229	283	86
230	285	85
231	286	83
232	287	82
233	288	81
234	289	80
235	290	78
236	291	77
237	293	76
238	294	75
239	295	73
240	296	72
241	297	71
242	299	70
243	300	68
244	301	67
245	302	66
246	304	65
247	305	64
248	306	62
249	307	61
250	308	60
251	310	59
252	311	57
253	312	56
254	313	55
255	315	54
256	316	52
257	317	51
258	318	50
259	320	49
260	321	48
261	322	46
262	324	45
263	325	44
264	326	43
265	327	41
266	328	40
267	329	39
268	331	38
269	332	36
270	333	35
271	334	34
272	335	33
273	336	31
274	337	30
275	339	29
276	340	28
277	341	27
278	342	25
279	343	24
280	344	23
281	345	22
282	346	20
283	348	19
284	349	18
285	350	17
286	351	15
287	352	14
288	353	13
289	355	12
290	356	11
291	357	9
292	358	8
293	359	7
294	360	6
295	361	4
296	362	3
297	364	2
298	365	1
299	366	0
