time_window,total_msgs,mod_req_count,mod_resp_count,estab_count,estab_resp_count,del_count,del_resp_count,heartbeat_count,other_count,mod_req_rate,session_churn_rate,mod_req_rate_lag1,mod_req_rate_delta,acceleration,failure_ratio,unique_sessions,ran_precursor_label
1777373640,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373650,14,1,1,1,1,0,0,2,8,0.1,0.07142857142857142,0.0,0.1,0.1,0.0,1,1
1777373660,2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,-0.1,-0.2,0.0,0,0
1777373670,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.1,0.0,0,0
1777373680,14,0,0,0,0,0,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373690,8,1,1,1,1,1,1,2,0,0.1,0.25,0.0,0.1,0.1,0.0,1,1
1777373700,2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,-0.1,-0.2,0.0,0,0
1777373710,14,0,0,0,0,0,0,2,12,0.0,0.0,0.0,0.0,0.1,0.0,0,0
1777373720,6,1,1,1,1,0,0,2,0,0.1,0.16666666666666666,0.0,0.1,0.1,0.0,1,1
1777373730,2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,-0.1,-0.2,0.0,0,0
1777373740,18,0,0,0,0,0,0,2,16,0.0,0.0,0.0,0.0,0.1,0.0,0,1
1777373750,8,1,1,1,1,1,1,2,0,0.1,0.25,0.0,0.1,0.1,0.0,1,1
1777373760,2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,-0.1,-0.2,0.0,0,0
1777373770,18,0,0,0,0,0,0,2,16,0.0,0.0,0.0,0.0,0.1,0.0,0,1
1777373780,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373790,6,1,1,1,1,0,0,2,0,0.1,0.16666666666666666,0.0,0.1,0.1,0.0,1,1
1777373800,22,0,0,0,0,0,0,2,20,0.0,0.0,0.1,-0.1,-0.2,0.0,0,1
1777373810,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.1,0.0,0,0
1777373820,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373830,22,0,0,0,0,0,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1777373840,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373850,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373860,22,0,0,0,0,0,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1777373870,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373880,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373890,22,0,0,0,0,0,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1777373900,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373910,2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1777373920,22,0,0,0,0,0,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0,1
